"Date","DNDGRG3M086SBEA"
1959-01-01,18.294
1959-02-01,18.302
1959-03-01,18.289
1959-04-01,18.3
1959-05-01,18.28
1959-06-01,18.321
1959-07-01,18.34
1959-08-01,18.375
1959-09-01,18.423
1959-10-01,18.467
1959-11-01,18.436
1959-12-01,18.44
1960-01-01,18.41
1960-02-01,18.411
1960-03-01,18.445
1960-04-01,18.561
1960-05-01,18.553
1960-06-01,18.549
1960-07-01,18.578
1960-08-01,18.619
1960-09-01,18.63
1960-10-01,18.661
1960-11-01,18.727
1960-12-01,18.754
1961-01-01,18.749
1961-02-01,18.758
1961-03-01,18.719
1961-04-01,18.633
1961-05-01,18.616
1961-06-01,18.585
1961-07-01,18.644
1961-08-01,18.654
1961-09-01,18.639
1961-10-01,18.617
1961-11-01,18.618
1961-12-01,18.597
1962-01-01,18.627
1962-02-01,18.708
1962-03-01,18.716
1962-04-01,18.761
1962-05-01,18.735
1962-06-01,18.702
1962-07-01,18.645
1962-08-01,18.696
1962-09-01,18.913
1962-10-01,18.865
1962-11-01,18.862
1962-12-01,18.818
1963-01-01,18.886
1963-02-01,18.901
1963-03-01,18.841
1963-04-01,18.816
1963-05-01,18.841
1963-06-01,18.915
1963-07-01,18.993
1963-08-01,19.04
1963-09-01,18.954
1963-10-01,18.989
1963-11-01,19.032
1963-12-01,19.082
1964-01-01,19.146
1964-02-01,19.152
1964-03-01,19.147
1964-04-01,19.152
1964-05-01,19.121
1964-06-01,19.16
1964-07-01,19.192
1964-08-01,19.178
1964-09-01,19.236
1964-10-01,19.249
1964-11-01,19.281
1964-12-01,19.311
1965-01-01,19.332
1965-02-01,19.319
1965-03-01,19.365
1965-04-01,19.416
1965-05-01,19.479
1965-06-01,19.668
1965-07-01,19.671
1965-08-01,19.623
1965-09-01,19.59
1965-10-01,19.627
1965-11-01,19.652
1965-12-01,19.74
1966-01-01,19.814
1966-02-01,19.952
1966-03-01,20.044
1966-04-01,20.11
1966-05-01,20.09
1966-06-01,20.116
1966-07-01,20.129
1966-08-01,20.27
1966-09-01,20.34
1966-10-01,20.366
1966-11-01,20.371
1966-12-01,20.382
1967-01-01,20.366
1967-02-01,20.376
1967-03-01,20.361
1967-04-01,20.352
1967-05-01,20.384
1967-06-01,20.463
1967-07-01,20.547
1967-08-01,20.625
1967-09-01,20.67
1967-10-01,20.696
1967-11-01,20.773
1967-12-01,20.788
1968-01-01,20.897
1968-02-01,20.98
1968-03-01,21.025
1968-04-01,21.093
1968-05-01,21.179
1968-06-01,21.226
1968-07-01,21.286
1968-08-01,21.383
1968-09-01,21.438
1968-10-01,21.544
1968-11-01,21.605
1968-12-01,21.627
1969-01-01,21.712
1969-02-01,21.727
1969-03-01,21.819
1969-04-01,21.943
1969-05-01,22.028
1969-06-01,22.197
1969-07-01,22.296
1969-08-01,22.344
1969-09-01,22.452
1969-10-01,22.472
1969-11-01,22.598
1969-12-01,22.735
1970-01-01,22.828
1970-02-01,22.928
1970-03-01,22.923
1970-04-01,23.079
1970-05-01,23.128
1970-06-01,23.148
1970-07-01,23.225
1970-08-01,23.245
1970-09-01,23.353
1970-10-01,23.449
1970-11-01,23.468
1970-12-01,23.527
1971-01-01,23.485
1971-02-01,23.504
1971-03-01,23.57
1971-04-01,23.669
1971-05-01,23.758
1971-06-01,23.869
1971-07-01,23.886
1971-08-01,23.994
1971-09-01,24.039
1971-10-01,24.073
1971-11-01,24.097
1971-12-01,24.208
1972-01-01,24.294
1972-02-01,24.441
1972-03-01,24.433
1972-04-01,24.421
1972-05-01,24.459
1972-06-01,24.458
1972-07-01,24.56
1972-08-01,24.623
1972-09-01,24.805
1972-10-01,24.865
1972-11-01,24.945
1972-12-01,25.028
1973-01-01,25.21
1973-02-01,25.436
1973-03-01,25.79
1973-04-01,26.063
1973-05-01,26.232
1973-06-01,26.445
1973-07-01,26.486
1973-08-01,27.118
1973-09-01,27.138
1973-10-01,27.368
1973-11-01,27.758
1973-12-01,28.098
1974-01-01,28.585
1974-02-01,29.194
1974-03-01,29.736
1974-04-01,29.95
1974-05-01,30.294
1974-06-01,30.47
1974-07-01,30.666
1974-08-01,31.107
1974-09-01,31.495
1974-10-01,31.696
1974-11-01,31.97
1974-12-01,32.247
1975-01-01,32.393
1975-02-01,32.453
1975-03-01,32.433
1975-04-01,32.415
1975-05-01,32.491
1975-06-01,32.724
1975-07-01,33.134
1975-08-01,33.313
1975-09-01,33.358
1975-10-01,33.573
1975-11-01,33.706
1975-12-01,33.809
1976-01-01,33.866
1976-02-01,33.718
1976-03-01,33.632
1976-04-01,33.588
1976-05-01,33.741
1976-06-01,33.881
1976-07-01,34.009
1976-08-01,34.156
1976-09-01,34.302
1976-10-01,34.463
1976-11-01,34.602
1976-12-01,34.732
1977-01-01,34.896
1977-02-01,35.342
1977-03-01,35.459
1977-04-01,35.684
1977-05-01,35.881
1977-06-01,36.07
1977-07-01,36.168
1977-08-01,36.268
1977-09-01,36.316
1977-10-01,36.46
1977-11-01,36.709
1977-12-01,36.856
1978-01-01,37.017
1978-02-01,37.092
1978-03-01,37.381
1978-04-01,37.728
1978-05-01,38.071
1978-06-01,38.369
1978-07-01,38.54
1978-08-01,38.664
1978-09-01,38.84
1978-10-01,39.124
1978-11-01,39.352
1978-12-01,39.552
1979-01-01,40.047
1979-02-01,40.408
1979-03-01,40.868
1979-04-01,41.316
1979-05-01,41.823
1979-06-01,42.299
1979-07-01,42.784
1979-08-01,43.117
1979-09-01,43.602
1979-10-01,43.952
1979-11-01,44.316
1979-12-01,44.744
1980-01-01,45.465
1980-02-01,45.936
1980-03-01,46.727
1980-04-01,46.934
1980-05-01,47.184
1980-06-01,47.387
