"Date","DPCCRA3M086SBEA"
1959-01-01,12.192
1959-02-01,12.392
1959-03-01,12.602
1959-04-01,12.558
1959-05-01,12.676
1959-06-01,12.722
1959-07-01,12.686
1959-08-01,12.788
1959-09-01,12.962
1959-10-01,12.823
1959-11-01,12.82
1959-12-01,12.78
1960-01-01,12.862
1960-02-01,12.952
1960-03-01,13.075
1960-04-01,13.344
1960-05-01,13.041
1960-06-01,13.026
1960-07-01,13.051
1960-08-01,13.084
1960-09-01,13.167
1960-10-01,13.25
1960-11-01,13.132
1960-12-01,12.977
1961-01-01,12.988
1961-02-01,13.057
1961-03-01,13.255
1961-04-01,13.198
1961-05-01,13.315
1961-06-01,13.337
1961-07-01,13.354
1961-08-01,13.387
1961-09-01,13.462
1961-10-01,13.596
1961-11-01,13.756
1961-12-01,13.853
1962-01-01,13.873
1962-02-01,13.844
1962-03-01,13.97
1962-04-01,14.078
1962-05-01,14.195
1962-06-01,14.104
1962-07-01,14.149
1962-08-01,14.186
1962-09-01,14.397
1962-10-01,14.301
1962-11-01,14.546
1962-12-01,14.638
1963-01-01,14.596
1963-02-01,14.546
1963-03-01,14.636
1963-04-01,14.727
1963-05-01,14.711
1963-06-01,14.92
1963-07-01,14.994
1963-08-01,15.018
1963-09-01,15.021
1963-10-01,15.015
1963-11-01,15.143
1963-12-01,15.343
1964-01-01,15.408
1964-02-01,15.536
1964-03-01,15.565
1964-04-01,15.59
1964-05-01,15.828
1964-06-01,15.924
1964-07-01,16.042
1964-08-01,16.121
1964-09-01,16.064
1964-10-01,16.172
1964-11-01,16.055
1964-12-01,16.132
1965-01-01,16.347
1965-02-01,16.609
1965-03-01,16.714
1965-04-01,16.808
1965-05-01,16.774
1965-06-01,16.599
1965-07-01,16.807
1965-08-01,16.948
1965-09-01,17.331
1965-10-01,17.438
1965-11-01,17.493
1965-12-01,17.492
1966-01-01,17.661
1966-02-01,17.821
1966-03-01,17.992
1966-04-01,17.961
1966-05-01,17.747
1966-06-01,17.797
1966-07-01,17.932
1966-08-01,18.043
1966-09-01,18.239
1966-10-01,18.168
1966-11-01,18.176
1966-12-01,18.186
1967-01-01,18.281
1967-02-01,18.151
1967-03-01,18.284
1967-04-01,18.479
1967-05-01,18.449
1967-06-01,18.594
1967-07-01,18.563
1967-08-01,18.629
1967-09-01,18.789
1967-10-01,18.566
