"Date","DPCMRG3M086SBEA"
1987-01-01,52.649
1987-02-01,52.872
1987-03-01,53.056
1987-04-01,53.228
1987-05-01,53.366
1987-06-01,53.577
1987-07-01,53.699
1987-08-01,53.913
1987-09-01,54.103
1987-10-01,54.261
1987-11-01,54.382
1987-12-01,54.475
1988-01-01,54.693
1988-02-01,54.785
1988-03-01,54.981
1988-04-01,55.239
1988-05-01,55.388
1988-06-01,55.612
1988-07-01,55.865
1988-08-01,56.01
1988-09-01,56.274
1988-10-01,56.475
1988-11-01,56.608
1988-12-01,56.812
1989-01-01,57.105
1989-02-01,57.333
1989-03-01,57.561
1989-04-01,57.967
1989-05-01,58.207
1989-06-01,58.351
1989-07-01,58.524
1989-08-01,58.552
1989-09-01,58.715
1989-10-01,58.968
1989-11-01,59.118
1989-12-01,59.293
1990-01-01,59.77
1990-02-01,60.049
1990-03-01,60.326
1990-04-01,60.453
1990-05-01,60.614
1990-06-01,60.88
1990-07-01,61.099
1990-08-01,61.531
1990-09-01,61.909
1990-10-01,62.295
1990-11-01,62.403
1990-12-01,62.49
1991-01-01,62.793
1991-02-01,62.845
1991-03-01,62.898
1991-04-01,63.046
1991-05-01,63.307
1991-06-01,63.411
1991-07-01,63.525
1991-08-01,63.668
1991-09-01,63.921
1991-10-01,64.062
1991-11-01,64.21
1991-12-01,64.371
1992-01-01,64.479
1992-02-01,64.653
1992-03-01,64.826
1992-04-01,64.99
1992-05-01,65.086
1992-06-01,65.208
1992-07-01,65.424
1992-08-01,65.494
1992-09-01,65.625
1992-10-01,65.868
1992-11-01,66.01
1992-12-01,66.11
1993-01-01,66.277
1993-02-01,66.341
1993-03-01,66.465
1993-04-01,66.621
1993-05-01,66.81
1993-06-01,66.811
1993-07-01,66.92
1993-08-01,67.03
1993-09-01,67.081
1993-10-01,67.297
1993-11-01,67.41
1993-12-01,67.414
1994-01-01,67.431
1994-02-01,67.589
1994-03-01,67.76
1994-04-01,67.848
1994-05-01,67.948
1994-06-01,68.109
1994-07-01,68.319
1994-08-01,68.464
1994-09-01,68.506
1994-10-01,68.605
1994-11-01,68.706
1994-12-01,68.741
1995-01-01,68.962
1995-02-01,69.073
1995-03-01,69.186
1995-04-01,69.377
1995-05-01,69.471
1995-06-01,69.523
1995-07-01,69.613
1995-08-01,69.754
1995-09-01,69.813
1995-10-01,69.984
1995-11-01,69.953
1995-12-01,70.065
1996-01-01,70.198
1996-02-01,70.321
1996-03-01,70.522
1996-04-01,70.74
1996-05-01,70.849
1996-06-01,70.832
1996-07-01,70.952
1996-08-01,70.986
1996-09-01,71.167
1996-10-01,71.359
1996-11-01,71.464
1996-12-01,71.532
1997-01-01,71.652
1997-02-01,71.768
1997-03-01,71.844
1997-04-01,71.899
1997-05-01,71.837
1997-06-01,71.931
1997-07-01,71.949
1997-08-01,72.012
1997-09-01,72.185
1997-10-01,72.216
1997-11-01,72.199
1997-12-01,72.196
1998-01-01,72.216
1998-02-01,72.18
1998-03-01,72.183
1998-04-01,72.235
1998-05-01,72.332
1998-06-01,72.263
1998-07-01,72.446
1998-08-01,72.548
1998-09-01,72.497
1998-10-01,72.661
1998-11-01,72.661
1998-12-01,72.733
1999-01-01,72.85
1999-02-01,72.82
1999-03-01,72.891
1999-04-01,73.255
1999-05-01,73.285
1999-06-01,73.294
1999-07-01,73.458
1999-08-01,73.558
1999-09-01,73.802
1999-10-01,73.902
1999-11-01,73.966
1999-12-01,74.139
2000-01-01,74.356
2000-02-01,74.606
2000-03-01,74.929
2000-04-01,74.822
2000-05-01,74.854
2000-06-01,75.079
2000-07-01,75.306
2000-08-01,75.297
2000-09-01,75.612
2000-10-01,75.73
2000-11-01,75.815
2000-12-01,75.892
2001-01-01,76.22
2001-02-01,76.33
2001-03-01,76.34
2001-04-01,76.479
2001-05-01,76.677
2001-06-01,76.804
2001-07-01,76.729
2001-08-01,76.714
2001-09-01,76.907
2001-10-01,76.759
2001-11-01,76.712
2001-12-01,76.625
2002-01-01,76.673
2002-02-01,76.772
2002-03-01,76.959
2002-04-01,77.271
2002-05-01,77.292
2002-06-01,77.354
2002-07-01,77.504
2002-08-01,77.659
2002-09-01,77.799
2002-10-01,77.938
2002-11-01,78.024
2002-12-01,78.102
2003-01-01,78.365
2003-02-01,78.693
2003-03-01,78.86
2003-04-01,78.666
2003-05-01,78.548
2003-06-01,78.633
2003-07-01,78.863
2003-08-01,79.142
2003-09-01,79.343
2003-10-01,79.321
2003-11-01,79.38
2003-12-01,79.541
2004-01-01,79.869
2004-02-01,80.068
2004-03-01,80.21
2004-04-01,80.304
2004-05-01,80.571
2004-06-01,80.812
2004-07-01,80.889
2004-08-01,80.938
2004-09-01,81.077
2004-10-01,81.433
2004-11-01,81.744
2004-12-01,81.753
2005-01-01,81.789
2005-02-01,82.049
2005-03-01,82.275
2005-04-01,82.506
2005-05-01,82.533
2005-06-01,82.582
2005-07-01,82.932
2005-08-01,83.3
2005-09-01,84.192
2005-10-01,84.277
2005-11-01,84.055
2005-12-01,84.025
2006-01-01,84.453
2006-02-01,84.482
2006-03-01,84.634
2006-04-01,84.98
2006-05-01,85.211
2006-06-01,85.398
2006-07-01,85.736
2006-08-01,86.033
2006-09-01,85.75
2006-10-01,85.479
2006-11-01,85.503
2006-12-01,85.812
2007-01-01,86.087
2007-02-01,86.368
2007-03-01,86.697
2007-04-01,86.887
2007-05-01,87.166
2007-06-01,87.34
2007-07-01,87.437
2007-08-01,87.458
2007-09-01,87.787
2007-10-01,88.111
2007-11-01,88.616
2007-12-01,88.844
2008-01-01,89.119
2008-02-01,89.34
2008-03-01,89.608
2008-04-01,89.84
2008-05-01,90.255
2008-06-01,90.962
2008-07-01,91.447
2008-08-01,91.401
2008-09-01,91.553
2008-10-01,91.106
2008-11-01,89.971
2008-12-01,89.453
2009-01-01,89.67
2009-02-01,89.936
2009-03-01,89.932
2009-04-01,90.051
2009-05-01,90.156
2009-06-01,90.725
2009-07-01,90.681
2009-08-01,90.971
2009-09-01,91.086
2009-10-01,91.336
2009-11-01,91.555
2009-12-01,91.579
2010-01-01,91.714
2010-02-01,91.674
2010-03-01,91.749
2010-04-01,91.786
2010-05-01,91.797
2010-06-01,91.761
2010-07-01,91.867
2010-08-01,91.994
2010-09-01,92.084
2010-10-01,92.316
2010-11-01,92.5
2010-12-01,92.728
2011-01-01,92.974
2011-02-01,93.267
2011-03-01,93.663
2011-04-01,94.056
2011-05-01,94.333
2011-06-01,94.33
2011-07-01,94.491
2011-08-01,94.731
2011-09-01,94.895
2011-10-01,94.963
2011-11-01,95.127
2011-12-01,95.208
2012-01-01,95.454
2012-02-01,95.689
2012-03-01,95.841
2012-04-01,95.945
2012-05-01,95.839
2012-06-01,95.784
2012-07-01,95.789
2012-08-01,96.15
2012-09-01,96.464
2012-10-01,96.66
2012-11-01,96.533
2012-12-01,96.513
2013-01-01,96.689
2013-02-01,97.067
2013-03-01,96.874
2013-04-01,96.643
2013-05-01,96.697
2013-06-01,96.935
2013-07-01,97.052
2013-08-01,97.156
2013-09-01,97.182
2013-10-01,97.24
2013-11-01,97.34
2013-12-01,97.52
2014-01-01,97.675
2014-02-01,97.72
2014-03-01,97.869
2014-04-01,98.002
2014-05-01,98.126
2014-06-01,98.22
2014-07-01,98.334
2014-08-01,98.32
2014-09-01,98.323
2014-10-01,98.224
2014-11-01,98.086
2014-12-01,97.873
2015-01-01,97.328
2015-02-01,97.516
2015-03-01,97.696
2015-04-01,97.77
2015-05-01,97.976
