"Date","IA001176M"
1959-01-01,16.378
1959-02-01,16.392
1959-03-01,16.413
1959-04-01,16.447
1959-05-01,16.471
1959-06-01,16.513
1959-07-01,16.559
1959-08-01,16.59
1959-09-01,16.642
1959-10-01,16.662
1959-11-01,16.699
1959-12-01,16.716
1960-01-01,16.72
1960-02-01,16.759
1960-03-01,16.762
1960-04-01,16.8
1960-05-01,16.819
1960-06-01,16.831
1960-07-01,16.855
1960-08-01,16.885
1960-09-01,16.896
1960-10-01,16.907
1960-11-01,16.946
1960-12-01,16.939
1961-01-01,16.944
1961-02-01,16.963
1961-03-01,16.969
1961-04-01,16.982
1961-05-01,17.008
1961-06-01,17.028
1961-07-01,17.056
1961-08-01,17.077
1961-09-01,17.119
1961-10-01,17.125
1961-11-01,17.128
1961-12-01,17.147
1962-01-01,17.156
1962-02-01,17.186
1962-03-01,17.23
1962-04-01,17.244
1962-05-01,17.257
1962-06-01,17.297
1962-07-01,17.31
1962-08-01,17.302
1962-09-01,17.345
1962-10-01,17.342
1962-11-01,17.356
1962-12-01,17.361
1963-01-01,17.386
1963-02-01,17.41
1963-03-01,17.423
1963-04-01,17.444
1963-05-01,17.472
1963-06-01,17.508
1963-07-01,17.526
1963-08-01,17.544
1963-09-01,17.583
1963-10-01,17.615
1963-11-01,17.634
1963-12-01,17.665
1964-01-01,17.696
1964-02-01,17.727
1964-03-01,17.746
1964-04-01,17.766
1964-05-01,17.779
1964-06-01,17.795
1964-07-01,17.816
1964-08-01,17.829
1964-09-01,17.839
1964-10-01,17.847
1964-11-01,17.879
1964-12-01,17.905
1965-01-01,17.935
1965-02-01,17.951
1965-03-01,17.963
1965-04-01,17.989
1965-05-01,18.018
1965-06-01,18.011
1965-07-01,18.029
1965-08-01,18.071
1965-09-01,18.098
1965-10-01,18.084
1965-11-01,18.115
1965-12-01,18.181
1966-01-01,18.176
1966-02-01,18.225
1966-03-01,18.254
1966-04-01,18.319
1966-05-01,18.38
1966-06-01,18.45
1966-07-01,18.515
1966-08-01,18.555
1966-09-01,18.608
1966-10-01,18.667
1966-11-01,18.723
1966-12-01,18.788
1967-01-01,18.798
1967-02-01,18.828
1967-03-01,18.863
1967-04-01,18.921
1967-05-01,18.972
1967-06-01,19.015
1967-07-01,19.093
1967-08-01,19.164
1967-09-01,19.231
1967-10-01,19.308
1967-11-01,19.382
1967-12-01,19.436
1968-01-01,19.525
1968-02-01,19.618
1968-03-01,19.707
1968-04-01,19.78
1968-05-01,19.861
1968-06-01,19.95
1968-07-01,20.019
1968-08-01,20.11
1968-09-01,20.192
1968-10-01,20.28
1968-11-01,20.367
1968-12-01,20.426
1969-01-01,20.509
1969-02-01,20.588
1969-03-01,20.693
1969-04-01,20.783
1969-05-01,20.856
1969-06-01,20.937
1969-07-01,21.028
1969-08-01,21.095
1969-09-01,21.182
1969-10-01,21.275
1969-11-01,21.357
1969-12-01,21.437
1970-01-01,21.505
1970-02-01,21.593
1970-03-01,21.67
1970-04-01,21.763
1970-05-01,21.836
1970-06-01,21.916
1970-07-01,22.005
1970-08-01,22.077
1970-09-01,22.176
1970-10-01,22.287
1970-11-01,22.41
1970-12-01,22.515
1971-01-01,22.611
1971-02-01,22.694
1971-03-01,22.766
1971-04-01,22.853
1971-05-01,22.947
1971-06-01,23.035
1971-07-01,23.13
1971-08-01,23.151
1971-09-01,23.18
1971-10-01,23.219
1971-11-01,23.27
1971-12-01,23.343
1972-01-01,23.448
1972-02-01,23.509
1972-03-01,23.549
1972-04-01,23.611
1972-05-01,23.662
1972-06-01,23.705
1972-07-01,23.771
1972-08-01,23.815
1972-09-01,23.894
1972-10-01,23.907
1972-11-01,23.961
1972-12-01,24.022
1973-01-01,24.011
1973-02-01,24.088
1973-03-01,24.192
1973-04-01,24.343
1973-05-01,24.432
1973-06-01,24.559
1973-07-01,24.667
1973-08-01,24.775
1973-09-01,24.916
1973-10-01,25.017
1973-11-01,25.142
1973-12-01,25.279
1974-01-01,25.433
1974-02-01,25.614
1974-03-01,25.855
1974-04-01,26.075
1974-05-01,26.379
1974-06-01,26.676
1974-07-01,26.947
1974-08-01,27.245
1974-09-01,27.51
1974-10-01,27.733
1974-11-01,27.951
1974-12-01,28.156
1975-01-01,28.288
1975-02-01,28.498
1975-03-01,28.663
1975-04-01,28.799
1975-05-01,28.915
1975-06-01,29.053
1975-07-01,29.238
1975-08-01,29.342
1975-09-01,29.502
1975-10-01,29.629
1975-11-01,29.834
1975-12-01,30.019
1976-01-01,30.172
1976-02-01,30.283
1976-03-01,30.371
1976-04-01,30.498
1976-05-01,30.639
1976-06-01,30.755
1976-07-01,30.928
1976-08-01,31.094
