"Date","IB001260M"
1959-01-01,13.828
1959-02-01,13.966
1959-03-01,13.997
1959-04-01,14.085
1959-05-01,14.231
1959-06-01,14.372
1959-07-01,14.36
1959-08-01,14.4
1959-09-01,14.49
1959-10-01,14.523
1959-11-01,14.555
1959-12-01,14.674
1960-01-01,14.657
1960-02-01,14.641
1960-03-01,14.692
1960-04-01,14.816
1960-05-01,14.862
1960-06-01,14.792
1960-07-01,14.746
1960-08-01,14.683
1960-09-01,14.687
1960-10-01,14.742
1960-11-01,14.818
1960-12-01,14.801
1961-01-01,14.912
1961-02-01,14.904
1961-03-01,15.041
1961-04-01,15.12
1961-05-01,15.193
1961-06-01,15.195
1961-07-01,15.144
1961-08-01,15.15
1961-09-01,15.221
1961-10-01,15.354
1961-11-01,15.448
1961-12-01,15.504
1962-01-01,15.515
1962-02-01,15.536
1962-03-01,15.605
1962-04-01,15.715
1962-05-01,15.835
1962-06-01,15.809
1962-07-01,15.829
1962-08-01,15.874
1962-09-01,15.947
1962-10-01,15.964
1962-11-01,16.059
1962-12-01,16.05
1963-01-01,16.015
1963-02-01,16.031
1963-03-01,16.13
1963-04-01,16.263
1963-05-01,16.278
1963-06-01,16.403
1963-07-01,16.509
1963-08-01,16.622
1963-09-01,16.672
1963-10-01,16.788
1963-11-01,16.85
1963-12-01,16.976
1964-01-01,17.065
1964-02-01,17.132
1964-03-01,17.271
1964-04-01,17.327
1964-05-01,17.426
1964-06-01,17.561
1964-07-01,17.598
1964-08-01,17.653
1964-09-01,17.761
1964-10-01,17.797
1964-11-01,17.888
1964-12-01,17.99
1965-01-01,18.056
1965-02-01,18.126
1965-03-01,18.155
1965-04-01,18.293
1965-05-01,18.393
1965-06-01,18.468
1965-07-01,18.574
1965-08-01,18.637
1965-09-01,18.713
1965-10-01,18.878
1965-11-01,19.021
1965-12-01,19.111
1966-01-01,19.135
1966-02-01,19.199
1966-03-01,19.314
1966-04-01,19.388
1966-05-01,19.424
1966-06-01,19.447
1966-07-01,19.542
1966-08-01,19.494
1966-09-01,19.575
1966-10-01,19.606
1966-11-01,19.743
1966-12-01,19.9
1967-01-01,19.971
1967-02-01,19.905
1967-03-01,19.98
1967-04-01,20.025
1967-05-01,20.053
1967-06-01,20.19
1967-07-01,20.315
1967-08-01,20.425
1967-09-01,20.441
1967-10-01,20.427
1967-11-01,20.448
1967-12-01,20.558
1968-01-01,20.745
1968-02-01,20.767
1968-03-01,20.984
1968-04-01,21.156
1968-05-01,21.211
1968-06-01,21.446
1968-07-01,21.473
1968-08-01,21.485
1968-09-01,21.579
1968-10-01,21.645
1968-11-01,21.71
1968-12-01,21.761
1969-01-01,21.768
1969-02-01,21.885
1969-03-01,21.821
1969-04-01,21.964
1969-05-01,22.195
1969-06-01,22.215
1969-07-01,22.138
1969-08-01,22.223
1969-09-01,22.299
1969-10-01,22.462
1969-11-01,22.564
1969-12-01,22.484
1970-01-01,22.684
1970-02-01,22.945
1970-03-01,22.775
1970-04-01,22.832
1970-05-01,22.958
1970-06-01,23.049
1970-07-01,23.082
1970-08-01,23.189
1970-09-01,23.34
1970-10-01,23.251
1970-11-01,23.251
1970-12-01,23.339
1971-01-01,23.311
1971-02-01,23.412
1971-03-01,23.45
1971-04-01,23.512
1971-05-01,23.642
1971-06-01,23.678
1971-07-01,23.715
1971-08-01,23.895
1971-09-01,23.864
1971-10-01,24
1971-11-01,24.11
1971-12-01,24.486
1972-01-01,24.512
1972-02-01,24.583
1972-03-01,24.92
1972-04-01,24.938
1972-05-01,24.866
1972-06-01,25.041
1972-07-01,25.223
1972-08-01,25.354
1972-09-01,25.391
1972-10-01,25.58
1972-11-01,25.76
1972-12-01,25.917
1973-01-01,26.09
1973-02-01,26.21
1973-03-01,26.28
1973-04-01,26.283
1973-05-01,26.347
1973-06-01,26.465
1973-07-01,26.409
1973-08-01,26.377
1973-09-01,26.523
1973-10-01,26.512
1973-11-01,26.539
1973-12-01,26.417
1974-01-01,26.335
1974-02-01,26.311
1974-03-01,26.345
1974-04-01,26.447
1974-05-01,26.491
1974-06-01,26.505
1974-07-01,26.482
1974-08-01,26.526
1974-09-01,26.574
1974-10-01,26.708
1974-11-01,26.728
1974-12-01,26.943
1975-01-01,27.1
1975-02-01,27.257
1975-03-01,27.135
1975-04-01,27.242
1975-05-01,27.526
1975-06-01,27.641
1975-07-01,27.584
1975-08-01,27.586
1975-09-01,27.566
1975-10-01,28.016
1975-11-01,28.133
1975-12-01,28.329
1976-01-01,28.485
1976-02-01,28.474
1976-03-01,28.67
1976-04-01,28.69
1976-05-01,28.693
1976-06-01,28.812
1976-07-01,28.994
1976-08-01,29.055
1976-09-01,29.191
1976-10-01,29.194
1976-11-01,29.421
1976-12-01,29.696
1977-01-01,29.826
1977-02-01,29.991
1977-03-01,29.997
1977-04-01,30.021
1977-05-01,30.307
1977-06-01,30.18
1977-07-01,30.43
1977-08-01,30.366
1977-09-01,30.435
1977-10-01,30.59
1977-11-01,30.791
1977-12-01,30.822
1978-01-01,30.886
1978-02-01,31.094
1978-03-01,31.47
1978-04-01,31.64
1978-05-01,31.609
1978-06-01,31.761
1978-07-01,31.728
1978-08-01,31.932
1978-09-01,31.993
1978-10-01,31.986
1978-11-01,31.92
1978-12-01,31.971
1979-01-01,32.071
1979-02-01,32.2
1979-03-01,32.493
1979-04-01,32.46
1979-05-01,32.453
1979-06-01,32.601
1979-07-01,32.595
1979-08-01,32.714
1979-09-01,32.658
1979-10-01,32.86
1979-11-01,32.942
1979-12-01,32.898
1980-01-01,33.155
1980-02-01,32.669
1980-03-01,32.598
1980-04-01,32.408
1980-05-01,32.315
1980-06-01,32.43
1980-07-01,32.614
1980-08-01,32.724
1980-09-01,33.027
1980-10-01,33.295
1980-11-01,33.221
1980-12-01,33.673
1981-01-01,33.33
1981-02-01,33.219
1981-03-01,33.278
1981-04-01,33.367
1981-05-01,33.329
1981-06-01,33.391
1981-07-01,33.387
1981-08-01,33.395
1981-09-01,33.365
1981-10-01,33.304
1981-11-01,33.415
1981-12-01,33.5
1982-01-01,33.328
1982-02-01,33.664
1982-03-01,33.749
1982-04-01,33.875
1982-05-01,33.973
1982-06-01,34.058
1982-07-01,34.173
1982-08-01,34.377
1982-09-01,34.523
1982-10-01,34.947
1982-11-01,35.07
1982-12-01,35.25
1983-01-01,35.69
1983-02-01,35.684
1983-03-01,35.921
1983-04-01,36.031
1983-05-01,36.349
1983-06-01,36.499
1983-07-01,36.687
1983-08-01,36.733
1983-09-01,36.973
1983-10-01,37.2
1983-11-01,37.193
1983-12-01,37.118
1984-01-01,37.477
1984-02-01,37.403
1984-03-01,37.444
