"Date","WPU5412"
2008-12-01,100
2009-01-01,101.1
2009-02-01,101.4
2009-03-01,101.5
2009-04-01,101.6
2009-05-01,101.9
2009-06-01,101.9
2009-07-01,101.7
2009-08-01,101.7
2009-09-01,101.7
2009-10-01,101.7
2009-11-01,101.7
2009-12-01,101.6
2010-01-01,101.4
2010-02-01,101.4
2010-03-01,101.4
2010-04-01,101.4
2010-05-01,101.4
2010-06-01,101.4
2010-07-01,102.2
2010-08-01,102.2
2010-09-01,102.2
2010-10-01,102.2
2010-11-01,102.2
2010-12-01,102.2
2011-01-01,102.2
2011-02-01,102.2
2011-03-01,102.2
2011-04-01,102.2
2011-05-01,102.9
2011-06-01,102.9
2011-07-01,103.3
2011-08-01,103.4
2011-09-01,104.5
2011-10-01,104.7
2011-11-01,104.7
2011-12-01,104.7
2012-01-01,104.7
2012-02-01,105
2012-03-01,105.8
2012-04-01,108.1
2012-05-01,108.1
2012-06-01,108.1
2012-07-01,108.1
2012-08-01,109.7
2012-09-01,108.9
2012-10-01,108.9
2012-11-01,109
2012-12-01,109
2013-01-01,110.7
2013-02-01,111.3
2013-03-01,111.3
2013-04-01,111.6
2013-05-01,111.6
2013-06-01,110.9
2013-07-01,111.4
2013-08-01,111.4
2013-09-01,111.8
2013-10-01,111.8
2013-11-01,111.8
2013-12-01,112.1
2014-01-01,111.9
2014-02-01,112.6
2014-03-01,114.1
2014-04-01,114.3
2014-05-01,116.7
2014-06-01,116.4
2014-07-01,117.8
2014-08-01,118.9
2014-09-01,119.7
2014-10-01,119.6
2014-11-01,119.6
2014-12-01,119.6
2015-01-01,119.9
2015-02-01,119.9
2015-03-01,119.6
2015-04-01,120.2
2015-05-01,120.2
2015-06-01,120.2
2015-07-01,120.2
2015-08-01,120.4
2015-09-01,120.4
2015-10-01,120.4
2015-11-01,120.4
2015-12-01,121.4
2016-01-01,121.4
2016-02-01,124
2016-03-01,124.8
2016-04-01,124.8
2016-05-01,126
2016-06-01,126
2016-07-01,124.7
2016-08-01,124.7
2016-09-01,124.7
2016-10-01,124.7
2016-11-01,124.7
2016-12-01,127.3
2017-01-01,130.9
2017-02-01,130.9
2017-03-01,130.9
2017-04-01,131.3
2017-05-01,131.3
2017-06-01,130.4
2017-07-01,130.4
2017-08-01,132.2
2017-09-01,131.5
2017-10-01,132.8
2017-11-01,132.8
2017-12-01,132.8
2018-01-01,132.8
2018-02-01,132.7
2018-03-01,132.7
2018-04-01,132.7
2018-05-01,132.7
2018-06-01,132.7
2018-07-01,132.9
2018-08-01,132.9
2018-09-01,133.5
2018-10-01,133.5
2018-11-01,133.5
2018-12-01,134
2019-01-01,134
2019-02-01,134
2019-03-01,134
2019-04-01,134
2019-05-01,134
2019-06-01,135.9
2019-07-01,136.8
2019-08-01,136.8
2019-09-01,136.8
2019-10-01,137.2
2019-11-01,137.2
2019-12-01,137.5
2020-01-01,137.5
2020-02-01,137.5
2020-03-01,137.8
2020-04-01,137.8
2020-05-01,137.8
2020-06-01,138.8
2020-07-01,138.8
2020-08-01,139.2
2020-09-01,139.2
2020-10-01,139.2
2020-11-01,139.6
2020-12-01,139.4
2021-01-01,139.3
2021-02-01,139.5
2021-03-01,139.6
2021-04-01,140.1
2021-05-01,140.9
2021-06-01,143.2
2021-07-01,144.698
2021-08-01,144.768
2021-09-01,145.021
2021-10-01,145.398
2021-11-01,148.113
2021-12-01,148.437
2022-01-01,148.766
2022-02-01,149.323
2022-03-01,152.793
2022-04-01,155.593
2022-05-01,156.465
2022-06-01,159.823
2022-07-01,160.007
2022-08-01,161.531
2022-09-01,162.124
2022-10-01,162.121
2022-11-01,162.125
2022-12-01,162.308
2023-01-01,162.753
2023-02-01,161.626
2023-03-01,163.366
2023-04-01,165.891
2023-05-01,165.591
2023-06-01,166.701
2023-07-01,166.541
2023-08-01,166.684
2023-09-01,167.945
2023-10-01,168.11
2023-11-01,169.91
