"Date","WPUFD49202"
2010-12-01,100
2011-01-01,100.4
2011-02-01,100.8
2011-03-01,101.5
2011-04-01,101.6
2011-05-01,101.7
2011-06-01,101.8
2011-07-01,102
2011-08-01,102.4
2011-09-01,102.5
2011-10-01,102.6
2011-11-01,102.7
2011-12-01,102.5
2012-01-01,103
2012-02-01,103.5
2012-03-01,103.8
2012-04-01,104
2012-05-01,104.1
2012-06-01,104.1
2012-07-01,103.9
2012-08-01,103.8
2012-09-01,104.1
2012-10-01,104.6
2012-11-01,104.8
2012-12-01,104.7
2013-01-01,104.9
2013-02-01,105.1
2013-03-01,105.5
2013-04-01,105.6
2013-05-01,105.1
2013-06-01,105.6
2013-07-01,105.9
2013-08-01,105.9
2013-09-01,105.9
2013-10-01,106.5
2013-11-01,106.4
2013-12-01,106.2
2014-01-01,106.5
2014-02-01,106.9
2014-03-01,107.4
2014-04-01,107.3
2014-05-01,107.5
2014-06-01,107.4
2014-07-01,108
2014-08-01,108
2014-09-01,107.7
2014-10-01,108.7
2014-11-01,108.4
2014-12-01,108.4
2015-01-01,108.6
2015-02-01,108.4
2015-03-01,108.7
2015-04-01,108.8
2015-05-01,108.6
2015-06-01,108.9
2015-07-01,109.3
2015-08-01,109.2
2015-09-01,109.1
2015-10-01,109.3
2015-11-01,109.1
2015-12-01,109.1
2016-01-01,109.9
2016-02-01,110.1
2016-03-01,110.1
2016-04-01,110.2
2016-05-01,110.1
2016-06-01,110.5
2016-07-01,110.5
2016-08-01,110.4
2016-09-01,110.5
2016-10-01,111.1
2016-11-01,110.9
2016-12-01,110.8
2017-01-01,111.3
2017-02-01,111.3
2017-03-01,111.7
2017-04-01,112.1
2017-05-01,112.2
2017-06-01,112.3
2017-07-01,112.5
2017-08-01,112.6
2017-09-01,112.6
2017-10-01,113.5
2017-11-01,113.4
2017-12-01,113.1
2018-01-01,113.7
2018-02-01,114.2
2018-03-01,114.5
2018-04-01,114.7
2018-05-01,114.8
2018-06-01,115.3
2018-07-01,115.5
2018-08-01,115.4
2018-09-01,115.5
2018-10-01,116.6
2018-11-01,116.5
2018-12-01,116.5
2019-01-01,116.7
2019-02-01,117
2019-03-01,117.3
2019-04-01,117.8
2019-05-01,117.9
2019-06-01,118
2019-07-01,118.2
2019-08-01,118.4
2019-09-01,118.1
2019-10-01,118.8
2019-11-01,118.1
2019-12-01,118.1
2020-01-01,118.7
2020-02-01,118.6
2020-03-01,118.9
2020-04-01,118.7
2020-05-01,118.6
2020-06-01,118.7
2020-07-01,119.3
2020-08-01,119.4
2020-09-01,119.5
2020-10-01,120.4
2020-11-01,120
2020-12-01,119.7
2021-01-01,120.9
2021-02-01,121.5
2021-03-01,122
2021-04-01,123.3
2021-05-01,123.9
2021-06-01,124.6
2021-07-01,125.8
2021-08-01,126.669
2021-09-01,126.906
2021-10-01,127.688
2021-11-01,128.569
2021-12-01,129.259
2022-01-01,130.668
2022-02-01,131.662
2022-03-01,133.38
2022-04-01,133.803
2022-05-01,134.154
2022-06-01,134.708
2022-07-01,135.279
2022-08-01,135.902
2022-09-01,136.092
2022-10-01,136.856
2022-11-01,136.926
2022-12-01,136.961
2023-01-01,137.303
2023-02-01,137.829
2023-03-01,138.047
2023-04-01,138.364
2023-05-01,138.401
2023-06-01,138.634
2023-07-01,139.348
2023-08-01,139.585
2023-09-01,139.804
2023-10-01,140.106
2023-11-01,139.78
